Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Gain alt,Perte d'altitude,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Training Stress Score® (TSS®),Difficulté,Constance,Temps passé au fond,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale
Course,2019-10-01 18:42:40,false,"Lyon Course à pied","11.86","772","00:53:11","169","188","4.5","165","244","4:29","3:23","42","43","1.35","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:43.62","12","0.0"
Course,2019-09-30 17:51:51,false,"Lyon Course à pied","5.44","276","00:26:23","133","163","2.4","161","245","4:51","3:30","12","12","1.28","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","02:50.68","6","0.0"
Course,2019-09-24 18:37:14,false,"Lyon Course à pied","16.25","948","01:22:52","150","177","3.3","164","241","5:06","3:13","298","301","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:29.27","17","0.0"
Course,2019-09-23 18:15:49,false,"Lyon Course à pied","6.84","420","00:30:00","167","180","3.7","165","179","4:23","3:44","43","42","1.38","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:22.72","7","0.0"
Course,2019-09-22 09:37:59,false,"Val-Sonnette Course à pied","28.11","2,283","02:28:32","177","197","5.0","163","238","5:17","3:53","732","731","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:30.06","29","0.0"
Course,2019-09-15 20:35:52,false,"Lyon Course à pied","13.44","863","00:56:38","175","191","5.0","167","232","4:13","3:10","73","73","1.42","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:49.25","14","0.0"
Course,2019-09-12 17:42:26,false,"Lyon Course à pied","7.05","360","00:28:42","154","178","3.3","170","179","4:04","3:41","48","48","1.45","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:09.67","8","0.0"
Course,2019-09-10 19:16:21,false,"Lyon Course à pied","7.89","587","00:42:21","167","194","4.0","167","246","5:22","3:25","304","306","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:39.25","8","0.0"
Course,2019-09-09 16:36:25,false,"Lyon Course à pied","6.31","418","00:32:05","154","165","3.3","163","171","5:05","4:17","10","9","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:31.38","7","0.0"
Course,2019-09-08 09:21:40,false,"Louhans Course à pied","20.99","1,310","01:23:08","183","196","5.0","171","184","3:58","3:31","105","103","1.47","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:45.29","21","0.0"
Course,2019-09-03 19:19:27,false,"Lyon Course à pied","8.13","532","00:44:16","152","191","3.2","165","230","5:27","3:27","316","302","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:19.74","10","0.0"
Course,2019-09-01 19:53:10,false,"Lyon Course à pied","7.76","375","00:30:59","151","173","3.2","169","179","3:59","3:38","49","52","1.48","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","02:54.38","8","0.0"
Course,2019-08-30 09:19:42,false,"Lyon Course à pied","20.05","1,073","01:26:15","165","186","5.0","169","241","4:18","1:07","78","77","1.38","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:11.21","21","0.0"
Course,2019-08-28 10:04:31,false,"Val-Sonnette Course à pied","13.46","746","00:55:51","176","192","5.0","169","175","4:09","3:49","84","83","1.42","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:56.65","14","0.0"
Course,2019-08-25 10:01:15,false,"Val-Sonnette Course à pied","6.03","317","00:23:57","176","194","4.0","172","181","3:58","3:27","21","19","1.46","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:07.40","7","0.0"
Course,2019-08-24 09:47:37,false,"Val-Sonnette Course à pied","10.11","551","00:40:23","180","198","5.0","171","180","4:00","3:40","52","53","1.47","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:26.65","11","0.0"
Course,2019-08-15 19:02:51,false,"Val-Sonnette Course à pied","6.02","209","00:22:26","143","190","2.8","172","181","3:44","3:20","15","15","1.56","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:02.72","7","0.0"
Course,2019-08-11 09:43:20,false,"Val-Sonnette Course à pied","6.02","268","00:23:12","166","191","3.5","172","179","3:51","3:36","16","14","1.51","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:04.16","7","0.0"
Course,2019-08-09 14:51:10,false,"Val-Sonnette Course à pied","8.61","377","00:33:55","175","194","4.5","170","177","3:56","3:36","37","36","1.49","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","02:21.37","9","0.0"
Course,2019-07-25 09:54:04,false,"Val-Sonnette Course à pied","7.44","412","00:40:44","165","195","4.3","165","180","5:28","3:46","314","314","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","02:40.69","8","0.0"
Course,2019-07-17 10:57:50,false,"Sainte-Hélène-sur-Isère Course à pied","9.28","1,066","02:45:12","138","180","2.7","116","245","17:47","3:45","794","799","0.49","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:47.40","10","0.0"
Course,2019-07-14 15:51:53,false,"Val-Sonnette Course à pied","6.08","257","00:25:19","168","186","3.5","168","176","4:10","3:36","15","14","1.43","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:17.73","7","0.0"
Course,2019-07-11 16:38:41,false,"Chamonix-Mont-Blanc Course à pied","19.23","1,732","02:33:39","168","196","5.0","156","248","8:00","2:49","1,493","1,487","0.79","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:56.16","20","0.0"
Course,2019-07-10 07:09:58,false,"Passy Course à pied","24.49","2,250","07:18:45","116","178","2.7","114","215","17:55","1:30","1,419","2,165","0.49","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","07:42.33","25","0.0"
Course,2019-07-09 07:42:02,false,"Chamonix-Mont-Blanc Course à pied","20.23","2,394","05:53:21","122","181","2.3","109","244","17:28","3:33","2,238","1,622","0.53","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","04:08.56","21","0.0"
Course,2019-07-02 16:22:00,false,"Rotalier Course à pied","10.79","922","01:01:49","167","197","5.0","163","180","5:44","4:01","517","520","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","04:28.94","11","0.0"
Course,2019-06-25 18:07:30,false,"Lyon Course à pied","7.59","388","00:30:27","146","192","3.5","168","180","4:01","3:33","49","45","1.48","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","02:27.86","8","0.0"
Course,2019-06-18 18:45:26,false,"Lyon Course à pied","20.35","1,437","01:28:05","172","194","5.0","170","233","4:20","3:11","406","408","1.36","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:36.70","21","0.0"
Course,2019-06-16 09:48:58,false,"Val-Sonnette Course à pied","21.14","1,442","01:24:28","175","191","5.0","172","181","4:00","3:23","133","133","1.46","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:26.05","22","0.0"
Course,2019-06-13 18:24:34,false,"Lyon Course à pied","11.88","737","00:46:13","166","191","4.3","173","184","3:53","3:31","48","51","1.49","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:24.45","12","0.0"
Course,2019-06-12 17:40:29,false,"Lyon Course à pied","7.82","488","00:31:05","165","182","3.6","171","180","3:59","3:42","53","55","1.47","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:21.12","8","0.0"
Course,2019-06-11 18:48:00,false,"Lyon Course à pied","19.78","1,228","01:29:28","155","185","4.2","172","231","4:31","3:04","363","365","1.29","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:08.34","20","0.0"
Course,2019-06-10 10:14:14,false,"Lyon Course à pied","21.48","1,103","01:27:39","148","175","3.8","170","180","4:05","3:30","110","108","1.44","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:33.32","22","0.0"
Course,2019-06-05 18:15:31,false,"Lyon Course à pied","10.63","630","00:43:31","164","183","4.2","172","179","4:06","3:41","50","51","1.42","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:03.27","11","0.0"
